path,action,reason
scripts/01_QC_clustering.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/02_glycolysis_scoring.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/03_cellchat_analysis.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/04_TCGA_validation.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/06_inferCNV_malignant.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/07_LASSO_risk_score.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/08_glycolysis_gradient.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/09_TF_activity.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/10_GSE14520_validation.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/11_spatial_transcriptomics.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/12_GSE235863_exploratory_association.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/14_OXPHOS_metabolic_specificity.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/15_NicheNet_analysis.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/16_patient_level_ligand_effects.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/17_partial_correlation_metabolic_specificity.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
scripts/18_LIANA_directional_concordance.R,retain_and_relocate,Active manuscript-supporting script moved from repository root into scripts/.
archive_not_used/historical_scripts/05_GSE125449_validation_NOT_USED_in_step8_final_manuscript.R,archive,Historical or not-used script retained for transparency outside active workflow.
archive_not_used/historical_scripts/12_drug_repurposing_NOT_USED_in_step8_final_manuscript.R,archive,Historical or not-used script retained for transparency outside active workflow.
archive_not_used/historical_scripts/18_restore_FigS12_ENO1_glycolysis_per_patient_NOT_USED_in_step8_final_manuscript.R,archive,Historical or not-used script retained for transparency outside active workflow.
archive_not_used/historical_scripts/README.md,archive,Historical or not-used script retained for transparency outside active workflow.
archive_not_used/historical_figure_restore/00_config_paths.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/00_run_selected_locked_figures.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/README.md,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig4E_SC_ENO1_SPP1_correlation.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig5B_ENO1_KM_optimal.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig5C_ENO1_AJCC_stage.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig5D_ENO1_Cox_forest.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig6A_four_gene_score_KM.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig6B_four_gene_score_Cox_forest.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_Fig9B_spatial_direction_consistency.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_FigS20_RCTD_celltype_composition.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_FigS24_calibration_TCGA_GSE14520.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/historical_figure_restore/plot_FigS25_GCK_sensitivity.R,archive,Historical figure-restoration helper moved out of active repository root.
archive_not_used/internal_audits/STEP9_REPOSITORY_AUDIT.tsv,archive,Internal revision-era repository audit moved out of public root.
docs/LIANA_DIRECTIONAL_CONCORDANCE_NOTE.md,relocate,Method-specific note moved into docs/.
locked_source_data/single_cell/Fig2C_15391_tumor_hepatocyte_GlycoHigh_GlycoLow_FIXED.csv,add_locked_source,Authoritative locked single-cell source table for submission release.
locked_source_data/single_cell/B3_15391_FIXED_depth_adjusted_residual_quartile_check.csv,add_locked_source,Authoritative locked single-cell source table for submission release.
locked_source_data/ligand/B2_patient_level_ligand_summary_FINAL15391_FIXEDGROUP.csv,add_locked_source,Locked patient-aware ligand source table aligned to Figure 3 and Supplementary Table S3.
locked_source_data/ligand/B2_patient_level_ligand_means_FINAL15391_FIXEDGROUP.csv,add_locked_source,Locked patient-aware ligand source table aligned to Figure 3 and Supplementary Table S3.
locked_source_data/ligand/B2_patient_level_ligand_detection_FINAL15391_FIXEDGROUP.csv,add_locked_source,Locked patient-aware ligand source table aligned to Figure 3 and Supplementary Table S3.
locked_source_data/ligand/B2_mixed_effect_ligand_results_FINAL15391_FIXEDGROUP.csv,add_locked_source,Locked patient-aware ligand source table aligned to Figure 3 and Supplementary Table S3.
locked_source_data/ligand/B2_ligand_detection_glm_results_FINAL15391_FIXEDGROUP.csv,add_locked_source,Locked patient-aware ligand source table aligned to Figure 3 and Supplementary Table S3.
locked_source_data/lasso/LASSO_coefficients_FIXED_tumor_only.csv,add_locked_source,Locked four-gene coefficient and model-selection stability source table.
locked_source_data/lasso/TCGA_repeated_CV_LASSO_selection_frequency.csv,add_locked_source,Locked four-gene coefficient and model-selection stability source table.
locked_source_data/lasso/TCGA_repeated_CV_LASSO_lambda_summary.csv,add_locked_source,Locked four-gene coefficient and model-selection stability source table.
locked_source_data/lasso/bootstrap_lasso_stability_summary.csv,add_locked_source,Locked four-gene coefficient and model-selection stability source table.
