historical_relative_path,public_release_action,reason
archive_not_used/historical_figure_restore/00_config_paths.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/00_run_selected_locked_figures.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig4E_SC_ENO1_SPP1_correlation.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig5B_ENO1_KM_optimal.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig5C_ENO1_AJCC_stage.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig5D_ENO1_Cox_forest.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig6A_four_gene_score_KM.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig6B_four_gene_score_Cox_forest.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_Fig9B_spatial_direction_consistency.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_FigS20_RCTD_celltype_composition.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_FigS24_calibration_TCGA_GSE14520.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_figure_restore/plot_FigS25_GCK_sensitivity.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_scripts/05_GSE125449_validation_NOT_USED_in_step8_final_manuscript.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_scripts/12_drug_repurposing_NOT_USED_in_step8_final_manuscript.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/historical_scripts/18_restore_FigS12_ENO1_glycolysis_per_patient_NOT_USED_in_step8_final_manuscript.R,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
archive_not_used/internal_audits/STEP9_REPOSITORY_AUDIT.tsv,omitted_from_submission_release,Revision-era or superseded material retained in local backup and Git history; not part of active submission workflow.
