score,outcome,n_sections,n_positive_rho,median_rho,min_rho,max_rho,n_sections_empirical_p_positive_lt_0_05,n_sections_empirical_p_two_sided_lt_0_05
leave_four_out_18_gene_mean_logexpr,ENO1,4,4,0.6279803150964076,0.38345386636761514,0.8125479613129543,4,4
leave_four_out_18_gene_mean_logexpr,MIF,4,4,0.5037116446066382,0.40418157332716664,0.8173676319734869,4,4
leave_four_out_18_gene_mean_logexpr,MIF_SPP1_ligand_score,4,4,0.5085332017555619,0.06880034678322436,0.8172808332675767,3,3
leave_four_out_18_gene_mean_logexpr,PTGES,4,4,0.2967386026235147,0.23512989811013577,0.3307980801579041,4,4
leave_four_out_18_gene_mean_logexpr,SPP1,4,3,0.36235255626952084,-0.1290972799190839,0.47095592236531836,3,3
leave_four_out_18_gene_mean_logexpr,four_gene_score,4,4,0.6943877136340735,0.6045081819166997,0.7882111575791052,4,4
locked_22_gene_mean_logexpr,ENO1,4,4,0.7404309276054976,0.5295673094843113,0.861036970405231,4,4
locked_22_gene_mean_logexpr,MIF,4,4,0.5538270092229092,0.47688163998204397,0.843060048922907,4,4
locked_22_gene_mean_logexpr,MIF_SPP1_ligand_score,4,4,0.5877660182727935,0.13731893219665497,0.8335595360214629,3,3
locked_22_gene_mean_logexpr,PTGES,4,4,0.3077318089778155,0.26017948486814657,0.3315239950327429,4,4
locked_22_gene_mean_logexpr,SPP1,4,3,0.398287196738434,-0.0849257667160351,0.5374569200072555,3,3
locked_22_gene_mean_logexpr,four_gene_score,4,4,0.8227370366400805,0.764196808727708,0.8713332124070379,4,4
