"gene","selection_frequency_lambda_min","selection_frequency_lambda_1se","coef_mean_lambda_min_valid_bootstraps","coef_sd_lambda_min_valid_bootstraps","coef_median_lambda_min_valid_bootstraps","coef_mean_lambda_1se_valid_bootstraps","coef_sd_lambda_1se_valid_bootstraps","valid_bootstrap_iterations","attempted_bootstrap_iterations"
"LDHA",0.97,0.07,0.339632270337261,0.166747950918803,0.325267233171285,0.0080971526456505,0.032975617201297,100,100
"ENO1",0.96,0.07,0.234340521645044,0.139958555190114,0.246685808473066,0.00611977452512097,0.0244197659878751,100,100
"SLC2A1",0.91,0.03,0.213839478867484,0.141868850896903,0.205224492765659,0.00287039724834906,0.0196657415459485,100,100
"PFKFB3",0.81,0.02,0.116359658189497,0.0913348105269658,0.117648379469304,0.00182168775725697,0.0140372678162354,100,100
"PFKM",0.76,0.01,-0.107382848092775,0.128836691370095,-0.0687720956486205,-0.00069717792237862,0.0069717792237862,100,100
"TPI1",0.7,0.01,0.0919901116869386,0.123537568356394,0.0320302956083637,0.000960287686275112,0.00960287686275112,100,100
"ALDOA",0.68,0,-0.258379655793751,0.287485382293205,-0.226920331975594,0,0,100,100
"PFKL",0.66,0,-0.111671960026151,0.12634302881975,-0.0883789184082074,0,0,100,100
"GPI",0.64,0.01,-0.123298066490918,0.134299257040016,-0.109635174602807,-0.00126930851004325,0.0126930851004325,100,100
"GCK",0.58,0,0.0390770971584624,0.059754332638999,0,0,0,100,100
"LDHB",0.57,0,-0.0751989235749476,0.122276854077745,-0.0259709691225232,0,0,100,100
"PFKP",0.52,0,0.0534255960579891,0.116744586572446,0,0,0,100,100
"ALDOB",0.52,0.01,-0.0192972651420403,0.0333295951142831,0,-0.000411476081866263,0.00411476081866263,100,100
"SLC2A3",0.5,0,-0.0582017028727384,0.0790149355947988,0,0,0,100,100
"ENO2",0.47,0,-0.0495322228057258,0.10747383976499,0,0,0,100,100
"HK2",0.47,0,0.00726431215105974,0.0732271257375289,0,0,0,100,100
"ALDOC",0.45,0,-0.0190049350597625,0.0488164598759404,0,0,0,100,100
"PGK1",0.44,0.01,-0.111542417918839,0.14730024458545,0,-0.00132744758848764,0.0132744758848764,100,100
"HK1",0.44,0,-0.00687478802404536,0.0703643016279287,0,0,0,100,100
"PGAM1",0.4,0,0.00527205511413322,0.100874578987186,0,0,0,100,100
"GAPDH",0.27,0.01,0.00298753023610746,0.0605384254367873,0,0.0001143490916484,0.001143490916484,100,100
"PKM",0.23,0,0.00831905367963091,0.0546079702555382,0,0,0,100,100
