"patient","GlycoGroup","detection_rate","gene"
"HCC03","GlycoHigh",0.285368217054264,"SPP1"
"HCC04","GlycoHigh",0.998203054806828,"SPP1"
"HCC05","GlycoHigh",0.116279069767442,"SPP1"
"HCC06","GlycoHigh",0.0520673813169985,"SPP1"
"HCC07","GlycoHigh",0.969465648854962,"SPP1"
"HCC08","GlycoHigh",0.963772282921219,"SPP1"
"HCC09","GlycoHigh",0.27093023255814,"SPP1"
"HCC10","GlycoHigh",0.660436137071651,"SPP1"
"HCC03","GlycoLow",0.196528841245533,"SPP1"
"HCC04","GlycoLow",1,"SPP1"
"HCC05","GlycoLow",0.0572687224669604,"SPP1"
"HCC06","GlycoLow",0.0282608695652174,"SPP1"
"HCC07","GlycoLow",0.9,"SPP1"
"HCC08","GlycoLow",0.911214953271028,"SPP1"
"HCC09","GlycoLow",0.245409015025042,"SPP1"
"HCC10","GlycoLow",0.429158110882957,"SPP1"
"HCC03","GlycoHigh",0.850290697674419,"MIF"
"HCC04","GlycoHigh",0.983827493261456,"MIF"
"HCC05","GlycoHigh",0.906976744186046,"MIF"
"HCC06","GlycoHigh",0.647779479326187,"MIF"
"HCC07","GlycoHigh",0.954198473282443,"MIF"
"HCC08","GlycoHigh",0.90281771132835,"MIF"
"HCC09","GlycoHigh",0.613953488372093,"MIF"
"HCC10","GlycoHigh",0.0404984423676012,"MIF"
"HCC03","GlycoLow",0.694231750893313,"MIF"
"HCC04","GlycoLow",0.948892674616695,"MIF"
"HCC05","GlycoLow",0.887979861548143,"MIF"
"HCC06","GlycoLow",0.51304347826087,"MIF"
"HCC07","GlycoLow",0.6625,"MIF"
"HCC08","GlycoLow",0.714953271028037,"MIF"
"HCC09","GlycoLow",0.262103505843072,"MIF"
"HCC10","GlycoLow",0.0102669404517454,"MIF"
"HCC03","GlycoHigh",0.00775193798449612,"PTGES"
"HCC04","GlycoHigh",0.452830188679245,"PTGES"
"HCC05","GlycoHigh",0,"PTGES"
"HCC06","GlycoHigh",0,"PTGES"
"HCC07","GlycoHigh",0.0152671755725191,"PTGES"
"HCC08","GlycoHigh",0.00287521564117309,"PTGES"
"HCC09","GlycoHigh",0.0302325581395349,"PTGES"
"HCC10","GlycoHigh",0.00207684319833853,"PTGES"
"HCC03","GlycoLow",0.00204185809086269,"PTGES"
"HCC04","GlycoLow",0.330494037478705,"PTGES"
"HCC05","GlycoLow",0,"PTGES"
"HCC06","GlycoLow",0,"PTGES"
"HCC07","GlycoLow",0.0125,"PTGES"
"HCC08","GlycoLow",0,"PTGES"
"HCC09","GlycoLow",0.00500834724540901,"PTGES"
"HCC10","GlycoLow",0,"PTGES"
