"patient","GlycoGroup","mean_expression","gene"
"HCC03","GlycoHigh",0.421540192204056,"SPP1"
"HCC04","GlycoHigh",3.08702989177343,"SPP1"
"HCC05","GlycoHigh",0.128238869069951,"SPP1"
"HCC06","GlycoHigh",0.0720973120700334,"SPP1"
"HCC07","GlycoHigh",4.81103151287347,"SPP1"
"HCC08","GlycoHigh",3.57770724202424,"SPP1"
"HCC09","GlycoHigh",0.648845078850342,"SPP1"
"HCC10","GlycoHigh",2.42060618562347,"SPP1"
"HCC03","GlycoLow",0.288168473553554,"SPP1"
"HCC04","GlycoLow",2.93440466053969,"SPP1"
"HCC05","GlycoLow",0.0501877970940654,"SPP1"
"HCC06","GlycoLow",0.0447878811170127,"SPP1"
"HCC07","GlycoLow",3.07333573619963,"SPP1"
"HCC08","GlycoLow",2.67035497010357,"SPP1"
"HCC09","GlycoLow",0.723611159098031,"SPP1"
"HCC10","GlycoLow",1.15261623862534,"SPP1"
"HCC03","GlycoHigh",1.2477474166347,"MIF"
"HCC04","GlycoHigh",1.98853359984312,"MIF"
"HCC05","GlycoHigh",1.42334194761284,"MIF"
"HCC06","GlycoHigh",1.01207361214647,"MIF"
"HCC07","GlycoHigh",3.00521141681724,"MIF"
"HCC08","GlycoHigh",2.31195576360127,"MIF"
"HCC09","GlycoHigh",1.03897519330978,"MIF"
"HCC10","GlycoHigh",0.0456579684824647,"MIF"
"HCC03","GlycoLow",0.97791067115415,"MIF"
"HCC04","GlycoLow",1.78315919848218,"MIF"
"HCC05","GlycoLow",1.53268572769763,"MIF"
"HCC06","GlycoLow",0.789260911928102,"MIF"
"HCC07","GlycoLow",1.62269755136889,"MIF"
"HCC08","GlycoLow",1.70789964070072,"MIF"
"HCC09","GlycoLow",0.533651196115707,"MIF"
"HCC10","GlycoLow",0.0187915886449502,"MIF"
"HCC03","GlycoHigh",0.00509411731430492,"PTGES"
"HCC04","GlycoHigh",0.268548586584273,"PTGES"
"HCC05","GlycoHigh",0,"PTGES"
"HCC06","GlycoHigh",0,"PTGES"
"HCC07","GlycoHigh",0.0180159789226022,"PTGES"
"HCC08","GlycoHigh",0.00387016431051396,"PTGES"
"HCC09","GlycoHigh",0.0164279169842652,"PTGES"
"HCC10","GlycoHigh",0.00285834101700124,"PTGES"
"HCC03","GlycoLow",0.00138677088365695,"PTGES"
"HCC04","GlycoLow",0.218581596817016,"PTGES"
"HCC05","GlycoLow",0,"PTGES"
"HCC06","GlycoLow",0,"PTGES"
"HCC07","GlycoLow",0.022324373026645,"PTGES"
"HCC08","GlycoLow",0,"PTGES"
"HCC09","GlycoLow",0.00529539372261002,"PTGES"
"HCC10","GlycoLow",0,"PTGES"
