glycolysis_bin,n_cells,glycolysis_mean,gene,mean_expression,category,bin_label
1,1540,0.098565990317594,ENO1,0.7690998705248617,Glycolytic enzyme,Bin 1
1,1540,0.098565990317594,LDHA,0.7020193565163224,Glycolytic enzyme,Bin 1
1,1540,0.098565990317594,SPP1,0.5263957305379701,Immunosuppressive ligand,Bin 1
1,1540,0.098565990317594,MIF,0.7156266099210984,Immunosuppressive ligand,Bin 1
1,1540,0.098565990317594,PTGES,0.0047344457572743,Immunosuppressive ligand,Bin 1
2,1539,0.1458315213338909,ENO1,1.142033838184835,Glycolytic enzyme,Bin 2
2,1539,0.1458315213338909,LDHA,1.0645924484801426,Glycolytic enzyme,Bin 2
2,1539,0.1458315213338909,SPP1,0.8026173352436031,Immunosuppressive ligand,Bin 2
2,1539,0.1458315213338909,MIF,0.8764213953075364,Immunosuppressive ligand,Bin 2
2,1539,0.1458315213338909,PTGES,0.0147725679556333,Immunosuppressive ligand,Bin 2
3,1539,0.1733128027428461,ENO1,1.428934870108826,Glycolytic enzyme,Bin 3
3,1539,0.1733128027428461,LDHA,1.1870152299877312,Glycolytic enzyme,Bin 3
3,1539,0.1733128027428461,SPP1,0.978488742708448,Immunosuppressive ligand,Bin 3
3,1539,0.1733128027428461,MIF,1.0879310361966892,Immunosuppressive ligand,Bin 3
3,1539,0.1733128027428461,PTGES,0.0247517599155318,Immunosuppressive ligand,Bin 3
4,1539,0.1940608794762175,ENO1,1.6103876751629298,Glycolytic enzyme,Bin 4
4,1539,0.1940608794762175,LDHA,1.3005837337836663,Glycolytic enzyme,Bin 4
4,1539,0.1940608794762175,SPP1,1.1637394340017968,Immunosuppressive ligand,Bin 4
4,1539,0.1940608794762175,MIF,1.2375882485191838,Immunosuppressive ligand,Bin 4
4,1539,0.1940608794762175,PTGES,0.0342537206857448,Immunosuppressive ligand,Bin 4
5,1539,0.2117861937915457,ENO1,1.7472687018425364,Glycolytic enzyme,Bin 5
5,1539,0.2117861937915457,LDHA,1.4752312937701395,Glycolytic enzyme,Bin 5
5,1539,0.2117861937915457,SPP1,1.2542959570545589,Immunosuppressive ligand,Bin 5
5,1539,0.2117861937915457,MIF,1.347540610786075,Immunosuppressive ligand,Bin 5
5,1539,0.2117861937915457,PTGES,0.0435764852483717,Immunosuppressive ligand,Bin 5
6,1539,0.2290610902007533,ENO1,1.8208689341009143,Glycolytic enzyme,Bin 6
6,1539,0.2290610902007533,LDHA,1.617537475174918,Glycolytic enzyme,Bin 6
6,1539,0.2290610902007533,SPP1,1.3148730343709871,Immunosuppressive ligand,Bin 6
6,1539,0.2290610902007533,MIF,1.410939789840938,Immunosuppressive ligand,Bin 6
6,1539,0.2290610902007533,PTGES,0.0598653371789405,Immunosuppressive ligand,Bin 6
7,1539,0.2462743207375636,ENO1,1.982689953784372,Glycolytic enzyme,Bin 7
7,1539,0.2462743207375636,LDHA,1.720645234065285,Glycolytic enzyme,Bin 7
7,1539,0.2462743207375636,SPP1,1.431782267761414,Immunosuppressive ligand,Bin 7
7,1539,0.2462743207375636,MIF,1.4529470325798597,Immunosuppressive ligand,Bin 7
7,1539,0.2462743207375636,PTGES,0.0650399273710165,Immunosuppressive ligand,Bin 7
8,1539,0.2650790772766239,ENO1,2.113585979851662,Glycolytic enzyme,Bin 8
8,1539,0.2650790772766239,LDHA,1.8955550185859045,Glycolytic enzyme,Bin 8
8,1539,0.2650790772766239,SPP1,1.6615199757425794,Immunosuppressive ligand,Bin 8
8,1539,0.2650790772766239,MIF,1.5165554132832957,Immunosuppressive ligand,Bin 8
8,1539,0.2650790772766239,PTGES,0.067858961431775,Immunosuppressive ligand,Bin 8
9,1539,0.2901108364745183,ENO1,2.274073940470991,Glycolytic enzyme,Bin 9
9,1539,0.2901108364745183,LDHA,2.0997883614746358,Glycolytic enzyme,Bin 9
9,1539,0.2901108364745183,SPP1,1.974359280962667,Immunosuppressive ligand,Bin 9
9,1539,0.2901108364745183,MIF,1.5579856004987227,Immunosuppressive ligand,Bin 9
9,1539,0.2901108364745183,PTGES,0.0517157615423896,Immunosuppressive ligand,Bin 9
10,1539,0.3408073621132105,ENO1,2.6436823464347308,Glycolytic enzyme,Bin 10
10,1539,0.3408073621132105,LDHA,2.5742127413610385,Glycolytic enzyme,Bin 10
10,1539,0.3408073621132105,SPP1,2.309781901601041,Immunosuppressive ligand,Bin 10
10,1539,0.3408073621132105,MIF,1.6415662020694672,Immunosuppressive ligand,Bin 10
10,1539,0.3408073621132105,PTGES,0.0230764975307262,Immunosuppressive ligand,Bin 10
