"package","version"
"R","4.5.2"
"Seurat","5.5.0"
"SeuratObject","5.4.0"
"harmony","2.0.3"
"AUCell","1.32.0"
"CellChat","2.2.0.9001"
"infercnv","1.26.0"
"glmnet","5.0"
"survival","3.8-6"
"survminer","0.5.2"
"timeROC","0.4.1"
"rms","8.1-1"
"estimate","1.0.13"
"RCTD","NOT_INSTALLED_IN_CURRENT_SESSION"
"spacexr","2.2.1"
"nichenetr","2.2.1.1"
"liana","0.1.14"
"SingleCellExperiment","1.32.0"
"SummarizedExperiment","1.40.0"
"dplyr","1.2.1"
"tidyr","1.3.2"
"readr","2.2.0"
"tibble","3.3.1"
"ggplot2","4.0.3"
"Matrix","1.7-5"
